,company_id,report_key,total_cnt,view_cnt,comment_cnt,positive_cnt,negative_cnt,news_cnt,mblog_cnt,blog_cnt,twitter_cnt,qq_cnt,weichat_cnt,video_cnt,finance_cnt,govt_cnt,company_cnt,headline_cnt,cluster
63,000338,201802,4152,8563493,171895,3625,370,1763,432,4,1,0,875,0,1603,15,13,875,3
64,000338,201803,7877,7554348,19061,7066,500,3295,407,9,0,0,1644,0,3190,59,15,1635,3
65,000338,201804,7366,7469452,21632,6658,448,2606,1008,7,0,0,1211,0,3311,7,7,1211,3
66,000338,201805,5682,9495810,500953,5200,282,2673,406,13,2,0,805,0,2540,19,20,805,3
67,000338,201806,7853,4519121,44885,7022,540,3573,826,30,0,0,311,0,4564,17,14,310,1
68,000338,201807,9513,29453864,505059,8463,721,3986,745,34,0,0,689,0,5072,18,26,688,6
69,000338,201808,1561,4664311,32296,1325,172,744,91,5,0,0,161,0,817,6,3,161,1
70,000756,200504,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
71,000756,200606,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
72,000756,200711,26,0,0,26,0,26,0,0,0,0,0,0,26,0,0,0,5
73,000756,201206,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
74,000756,201210,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5
75,000756,201211,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
76,000756,201401,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
77,000756,201410,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5
78,000756,201503,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
79,000756,201509,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
80,000756,201511,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5
81,000756,201601,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
82,000756,201603,4,0,0,4,0,4,0,0,0,0,0,0,1,0,0,0,5
83,000756,201605,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
84,000756,201607,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5
85,000756,201608,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5
86,000756,201609,5,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,5
87,000756,201610,3,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,5
88,000756,201611,3,0,0,3,0,2,0,0,0,0,1,0,0,0,0,1,5
89,000756,201612,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
90,000756,201701,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,5
91,000756,201702,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5
92,000756,201703,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
93,000756,201705,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
94,000756,201707,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5
95,000756,201708,23,0,0,20,1,2,21,0,0,0,0,0,1,0,0,0,5
96,000756,201709,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5
97,000756,201710,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,5
98,000756,201711,4,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,5
99,000756,201712,4,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,5
100,000756,201801,113,0,2,112,1,74,35,0,0,0,4,0,1,0,0,4,5
101,000756,201802,1481,1971794,12483,1150,264,626,141,6,0,0,373,0,555,0,2,373,9
102,000756,201803,2184,1010817,12433,1965,141,818,291,13,0,0,417,0,948,2,1,417,5
103,000756,201804,1312,428828,4552,1127,134,485,168,2,0,0,281,0,558,0,1,281,5
104,000756,201805,988,251701,3965,843,113,407,142,2,0,0,180,0,395,5,3,180,5
105,000756,201806,761,373895,7491,607,117,297,123,0,0,0,89,0,326,0,0,89,5
106,000756,201807,1564,946817,16494,1427,89,754,271,4,0,0,115,0,597,0,2,115,5
107,000756,201808,445,445403,4000,366,46,147,79,1,0,0,33,0,195,0,0,33,5
